Posted_date,Job Title,Country,Company,Skill
12/04/2024,Senior Backend Engineer (Go),germany,Few&Far, Terraform
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Node.js
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,Code Review
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,Confluence
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,Doctrine (PHP)
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,HTML
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,JavaScript
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,Jira
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,Model-View-Controller (MVC)
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,PHP
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics,SQL
11/28/2024,Web Application Backend Developer (m/w/d),germany,Fokus Academics, Web Application Development
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Amazon Web Services (AWS)
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Ansible
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Back-End Web Development
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Cloud Infrastructure
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,DevOps
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,English
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Infrastructure as code (IaC)
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Java
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy,Java Development
11/07/2024,Backend Developer (M/W/D),germany,Technology & Strategy, Terraform
12/04/2024,Senior Backend Developer,germany,Lodgify,.NET Core
12/04/2024,Senior Backend Developer,germany,Lodgify,.NET Framework
12/04/2024,Senior Backend Developer,germany,Lodgify,C#
12/04/2024,Senior Backend Developer,germany,Lodgify,Docker Products
12/04/2024,Senior Backend Developer,germany,Lodgify,Domain-Driven Design (DDD)
12/04/2024,Senior Backend Developer,germany,Lodgify,English
